Date,Ticker,Adj Close
2020-03-19,QFT,39.82
2019-09-27,XXY,136.889023
2019-05-22,XXY,126.469322
2019-05-09,XXY,123.861244
2020-01-08,XXY,159.653915
2019-06-13,XXY,131.075592
2019-09-11,XXY,135.288849
2019-05-02,XXY,124.561966
2020-03-12,QFT,39.009998
2020-03-03,QFT,46.75
2020-03-09,LME,61.23
2019-08-14,XXY,133.161926
2019-06-03,XXY,118.712952
2020-03-23,XXY,135.979996
2019-06-20,XXY,135.662033
2020-03-12,XXY,139.059998
2020-02-13,LME,113.769997
2020-01-02,XXY,160.18248
2020-02-05,LME,105.839996
2019-12-10,XXY,150.718338
2019-08-15,XXY,132.863754
2020-03-16,LME,37.25
2019-04-16,XXY,119.193001
2019-05-29,XXY,123.764999
2019-08-12,XXY,134.512939
2019-08-13,XXY,137.296539
2020-03-27,LME,44.34
2019-06-17,XXY,131.600616
2020-01-22,XXY,165.248642
2020-02-24,XXY,170.889999
2020-02-12,LME,114.209999
2019-09-09,XXY,136.680328
2019-12-19,XXY,155.285858
2019-11-18,XXY,149.422043
2019-07-18,XXY,135.137039
2020-03-05,LME,81.089996
2020-03-16,QFT,38.709999
2019-05-17,XXY,126.86557
2020-03-06,XXY,161.570007
2020-03-06,LME,76.839996
2020-03-20,LME,35.509998
2019-11-07,XXY,143.37915
2020-02-13,QFT,54.529999
2020-01-09,XXY,161.648468
2020-03-11,QFT,45.700001
2020-02-25,LME,87.940002
2020-04-02,QFT,44.490002
2019-10-02,XXY,133.827835
2020-02-26,LME,89.150002
2019-05-03,XXY,127.216843
2020-03-10,LME,70.760002
2019-07-16,XXY,135.790817
2020-02-14,XXY,184.845123
2019-08-09,XXY,136.414917
2019-07-26,XXY,140.010757
2020-02-19,QFT,58.900002
2019-07-23,XXY,137.980042
2019-06-11,XXY,130.857666
2019-07-01,XXY,134.403992
2020-03-30,XXY,160.229996
2019-10-29,XXY,141.957901
2019-10-01,XXY,136.233078
2020-02-18,XXY,186.720001
2020-03-13,XXY,158.830002
2019-08-28,XXY,134.732269
2020-03-04,LME,88.889999
2019-07-11,XXY,137.098404
2019-09-06,XXY,138.250671
2019-09-26,XXY,138.687973
2019-12-16,XXY,155.106339
2019-09-13,XXY,136.481537
2019-06-25,XXY,132.17514
2020-03-18,QFT,39.119999
2019-09-24,XXY,136.541183
2020-02-28,LME,77
2020-01-29,XXY,167.58226
2019-07-08,XXY,135.671951
2019-07-02,XXY,135.295517
2019-09-05,XXY,139.19487
2020-03-31,LME,47.639999
2019-04-15,XXY,119.469353
2020-03-17,XXY,146.570007
2020-03-03,XXY,164.509995
2019-12-31,XXY,157.270432
2019-10-03,XXY,135.447891
2020-03-27,QFT,46.580002
2019-05-01,XXY,126.210159
2019-11-22,XXY,149.182526
2020-03-05,XXY,166.270004
2019-08-20,XXY,136.421906
2019-09-17,XXY,136.551117
2020-02-18,QFT,56.889999
2019-08-29,XXY,137.276642
2020-02-14,LME,114.540001
2019-04-12,XXY,119.370651
2019-12-24,XXY,156.951309
2020-02-05,XXY,179.409958
2020-03-19,LME,40.220001
2019-10-31,XXY,142.494583
2019-05-28,XXY,124.973534
2019-07-30,XXY,139.030075
2020-03-04,XXY,170.550003
2019-10-25,XXY,139.870712
2020-02-11,QFT,53.799999
2019-10-23,XXY,136.402039
2019-12-26,XXY,158.237793
2019-10-14,XXY,138.697922
2019-07-31,XXY,134.988449
2020-01-31,XXY,169.766296
2019-12-09,XXY,150.947708
2020-01-13,XXY,162.835236
2019-05-21,XXY,125.706573
2019-11-13,XXY,146.410538
2020-02-06,LME,108.419998
2020-02-14,QFT,55.310001
2019-08-06,XXY,133.423309
2019-04-10,XXY,118.620583
2019-07-15,XXY,137.593704
2019-10-16,XXY,139.552673
2019-04-22,XXY,122.143959
2020-01-30,XXY,172.309357
2020-03-27,XXY,149.699997
2019-11-08,XXY,145.068787
2019-08-01,XXY,136.761597
2019-07-24,XXY,139.396591
2020-02-06,XXY,183.129807
2019-08-07,XXY,134.007736
2020-02-06,QFT,49.32
2020-02-11,LME,110.959999
2020-02-25,XXY,168.070007
2020-01-15,XXY,162.735504
2019-04-08,XXY,118.363968
2019-06-07,XXY,130.16423
2019-05-23,XXY,124.99334
2020-01-07,XXY,157.150772
2020-02-11,XXY,183.937607
2020-03-23,QFT,41.639999
2019-11-20,XXY,149.212433
2020-03-12,LME,44.759998
2019-09-18,XXY,137.67421
2019-12-27,XXY,158.527008
2020-02-21,QFT,53.279999
2019-11-15,XXY,149.054306
2020-03-02,QFT,47.459999
2020-02-28,QFT,45.48
2019-11-29,XXY,150.967651
2020-03-20,QFT,39.610001
2020-02-25,QFT,47.57
2020-01-27,XXY,161.837952
2020-03-25,QFT,44.630001
2020-03-17,QFT,41.880001
2019-12-11,XXY,151.286774
2020-03-09,QFT,43.27
2020-03-25,XXY,146.919998
2020-01-10,XXY,160.900513
2019-08-08,XXY,137.583801
2019-05-13,XXY,121.739311
2019-05-07,XXY,123.880966
2020-01-23,XXY,166.265869
2020-01-28,XXY,165.009308
